inventory code,Title,Maker,date,chart estimate type,chart standarized date,Production Place,Country (current),Continent,historic period/ polity,historical age,category,link
LAD 2020.098,"Yoshitsune's Horse-washing Falls at Yoshino in Yamato Province, from the series A Tour of Waterfalls in Various Provinces",Katsushika Hokusai (1760-1849),ca. 1832,specific year,1832,Japan,Japan,Asia,,modern & contemporary,print,
LAD 2020.081,"Youth Setting Out from Home, from the series A True Mirror of Chinese and Japanese Poetry",Katsushika Hokusai (1760-1849),ca. 1833-1834,year range,1833,Japan,Japan,Asia,,modern & contemporary,print,
LAD 2012.104,Kunvar Ratan Singh Hunting,anonymous,1835-1836,year range,1835,"Sitamau, Madhya Pradesh ",India,Asia,,modern & contemporary,,
LAD 2011.099,A Man of Rank Being Carried in a Palanquin,anonymous,ca. 1830-1840,year range,1835,India,India,Asia,,modern & contemporary,,
LAD 2011.111,Old Woman Spinning,anonymous,ca. 1830-1840,year range,1835,India,India,Asia,,modern & contemporary,,
LAD 2011.064,Punnun is Taken Away From his Wedding Night by his Brother,anonymous,ca. 1830-1840,year range,1835,Jodhpur,India,Asia,,modern & contemporary,,
LAD 2011.095,Raja Hira Singh with his Persian Tutor,anonymous,ca. 1835,year range,1835,India,India,Asia,,modern & contemporary,,
LAD 2011.042,Srinathji (Form of Krishna),anonymous,ca. 1835,year range,1835,Nathdwara,India,Asia,,modern & contemporary,,
LAD 2020.099,"Poem by Fujiwara no Toshiyuki Ason, from the series One Hundred Poems Explained by the Nurse",Katsushika Hokusai (1760-1849),ca. 1835-1836,year range,1835,Japan,Japan,Asia,,modern & contemporary,print,
LAD 2020.100,"Poem by Motoyoshi Shinno, from the series One Hundred Poems Explained by the Nurse",Katsushika Hokusai (1760-1849),ca. 1835-1836,year range,1835,Japan,Japan,Asia,,modern & contemporary,print,
LAD 2020.101,"Poem by Fujiwara no Yoshitaka, from the series One Hundred Poems Explained by the Nurse",Katsushika Hokusai (1760-1849),ca. 1835-1836,year range,1835,Japan,Japan,Asia,,modern & contemporary,print,
LAD 2011.119,Couple From Malabar Making Rope,anonymous,1837,specific year,1837,India,India,Asia,,modern & contemporary,,
LAD 2021.016,"Pou whakairo, Maori Figure",anonymous, before 1840,year range,1839,New Zealand,New Zealand,Oceania,,modern & contemporary,sculpture,
LAD 2011.102,King Ghazi ud-Din Haidar of Awadh with British Guests,anonymous,ca. 1840,specific year,1840,India,India,Asia,,modern & contemporary,,
LAD 2011.104,Girl With a Cat,anonymous,ca. 1840,specific year,1840,India,India,Asia,,modern & contemporary,,
LAD 2011.065,Krishna and Gopis Playing Hide-and-Seek,anonymous,ca. 1840,specific year,1840,Jodhpur,India,Asia,,modern & contemporary,,
LAD 2011.053,Two Priests of the Vallabha Cult,anonymous,ca. 1840,specific year,1840,Kotah ,India,Asia,,modern & contemporary,,
LAD 2011.161,Ayoucha,Joseph-Philibert Girault de Prangey (1804-1892),1843,specific year,1843,Egypt,Egypt,Africa,,modern & contemporary,,
LAD 2011.120,A Couple of Malabar Muslims (Mappilas),anonymous,1840-1850,year range,1845,India,India,Asia,,modern & contemporary,,
LAD 2011.103,A Prince (Wajid Ali Shah?) and His Mistress,anonymous,ca. 1845,specific year,1845,India,India,Asia,,modern & contemporary,,
LAD 2011.105,A Cat,anonymous,ca. 1845,specific year,1845,India,India,Asia,,modern & contemporary,,
LAD 2011.106,Courtesan With a Hookah,anonymous,ca. 1845,specific year,1845,India,India,Asia,,modern & contemporary,,
LAD 2011.107,A Family of Acrobats,anonymous,ca. 1845,specific year,1845,India,India,Asia,,modern & contemporary,,
LAD 2009.035,In Fontainebleau Forest: Pines and Birch Trees in the Rocks,Camille Corot (1796-1875),ca. 1845-1850,year range,1847,Fontainebleau ,France,Europe,,modern & contemporary,painting,
LAD 2011.114,Four British Officers Seated in Conversation,anonymous,ca. 1845-1850,year range,1847,India,India,Asia,,modern & contemporary,,
LAD 2013.048,Statue,anonymous,1800-1900,year range,1850,Cavally Region,Ivory Coast,Europe,,modern & contemporary,,
LAD 2015.037,"Phemba, Maternity Figure,",Yombe Culture,ca. 1800-1900,year range,1850,Democratic Republic of the Congo,Democratic Republic of the Congo,Africa,,modern & contemporary,sculpture,
LAD 2019.035,Rapa Ceremonial Dance Paddle,anonymous,ca. 1800-1900,year range,1850,Easter Island ,Chile,America,,modern & contemporary,,
LAD 2021.022,Mukuyi Mask,Punu Culture,ca. 1850,specific year,1850,"Punu Culture, ",Gabon,Africa,,modern & contemporary,,
LAD 2011.055,"Study of Three British Officers, One on Horseback",anonymous,ca. 1850,specific year,1850,India,India,Asia,,modern & contemporary,,
LAD 2011.112,Mausoleum in Ajmer,anonymous,ca. 1850,specific year,1850,India,India,Asia,,modern & contemporary,,
LAD 2011.127,The Sun Overcomes Hariscandra's Son,anonymous,ca. 1850,specific year,1850,India,India,Asia,,modern & contemporary,,
LAD 2011.056,A British Political Officer,anonymous,ca. 1850-1860,year range,1855,Kotah ,India,Asia,,modern & contemporary,,
LAD 2020.102,"Sudden Shower over Shin-Ōhashi Bridge and Atake, from the series One Hundred Famous Views of Famous of Edo",Utagawa Hiroshige (1797-1858),1857,specific year,1857,Japan,Japan,Asia,,modern & contemporary,print,
LAD 2011.075,Raja Balwant Singh of Bhinai in a gardenKedardas,anonymous,1857,specific year,1857,India,India,Asia,,modern & contemporary,,
LAD 2013.010,"Ichikoku Bridge in the Eastern Capital, from the series Thirty-Six Views of Mount Fuji",Utagawa Hiroshige (1797-1858),1858,specific year,1858,Japan,Japan,Asia,,modern & contemporary,print,
LAD 2013.011,"Suruga District in the Eastern Capital, from the series Thirty-Six Views of Mount Fuji",Utagawa Hiroshige (1797-1858),1858,specific year,1858,Japan,Japan,Asia,,modern & contemporary,print,
LAD 2013.012,"Sukiyagashi in the Eastern Capital, from the series Thirty-Six Views of Mount Fuji",Utagawa Hiroshige (1797-1858),1858,specific year,1858,Japan,Japan,Asia,,modern & contemporary,print,
LAD 2013.013,"Tsukuda Pond in the Eastern Capital, from the series Thirty-Six Views of Mount Fuji",Utagawa Hiroshige (1797-1858),1858,specific year,1858,Japan,Japan,Asia,,modern & contemporary,print,
LAD 2013.014,"Ochanomizu in the Eastern Capital, from the series Thirty-Six Views of Mount Fuji",Utagawa Hiroshige (1797-1858),1858,specific year,1858,Japan,Japan,Asia,,modern & contemporary,print,
LAD 2013.015,"The Ryosoku Bridge in the Eastern Capital, from the series Thirty-Six Views of Mount Fuji",Utagawa Hiroshige (1797-1858),1858,specific year,1858,Japan,Japan,Asia,,modern & contemporary,print,
LAD 2013.016,"The Sumida's Riverbanks in the Eastern Capital, from the series Thirty-Six Views of Mount Fuji",Utagawa Hiroshige (1797-1858),1858,specific year,1858,Japan,Japan,Asia,,modern & contemporary,print,
