inventory code,Title,Maker,date,chart estimate type,chart standarized date,Production Place,Country (current),Continent,historic period/ polity,historical age,category,link
LAD 2019.042.011,"Guldengroschen of Frederick III the Wise, Elector of Saxony",,after 1507,year range,1510,"Hall, Austria or Dresde ",Germany,,,early modern,,
LAD 2019.012,"Collection of Texts on Astronomy, Medicine and Logic",Hieronymus Pauli of Limburg,1500-1524,year range,1512,Germany,Germany,Europe,,early modern,,
LAD 2009.012,Christ Showing His Wounds,anonymous,ca. 1515-1520,year range,1517,Germany (Bavaria) or Austria,Austria,Europe,,middle ages,painting,
LAD 2021.004.001,Episode from Aeneid: The Plague at Pergamea,Dosso Dossi (1489/1490-1542),  ca. 1518,specific year,1518,Italy,Italy,Europe,,early modern,,
LAD 2021.004.002,Episode from Aeneid: The Sicilian Games,Dosso Dossi (1489/1490-1542),  ca. 1518,specific year,1518,Italy,Italy,Europe,,early modern,,
LAD 2022.001,Thurifer Angel in a Yellow Tunic,Bernhard Strigel (1461-1528),ca. 1520,specific year,1520,"Swabia, ",Germany,Europe,,early modern,,
LAD 2011.033,Cows and Herdsman,anonymous,ca. 1520-1525,year range,1522,Mewar (?),India,Asia,,early modern,,
LAD 2020.011,"The Adoration of the Magi, scene from the New Testament",Pieter Coecke van Aelst (1502-1550),ca. 1523,specific year,1523,"Brussels (?), Flanders",Belgium,Europe,,early modern,,
LAD 2022.007,"Rustam recovers Rakhsh from Afrasiyab’s herd, illustrated folio from The Shahnameh of Shah Tahmasp (recto)",Mirza ‘Ali,ca. 1525-1535,year range,1530,Tabriz,Iran,Asia,,early modern,books,
LAD 2022.012,The Prince of Envy and the Abduction of Concord,anonymous,ca. 1530,specific year,1530,"probably Tournai, Southern Netherlands",Netherlands,Europe,,early modern,,
LAD 2017.005,Planisphere,Vesconte Maggiolo (1476-1531),1531,specific year,1531,Genoa ,Italy,Europe,,early modern,,
LAD 2020.126,A Page from the Late Shah Jahan Album: Calligraphic Page by Mir ‘Ali Haravi,anonymous,1520-1550,year range,1535,"Herat or Bukhara, Mughal India",Uzbekistan,Asia,Uzbek Dynasty ,early modern,,
LAD 2013.056,Dish with a Trophy of Arms,Jacomo Da Pesaro (?-1547),ca. 1530-1543,year range,1536,Venice ,Italy,Europe,Republic of Venice (697-1797),early modern,,
LAD 2013.055,Dish with Tracery and the Bust of a Woman,Jacomo Da Pesaro (?-1547),ca. 1534-1543,year range,1539,Venice ,Italy,Europe,Republic of Venice (697-1797),early modern,,
LAD 2019.008,"Astronomicum Caesareum, Treatise on Astronomy",Petrus Apianus (1495-1552),1540,specific year,1540,"Ingolstadt, ",Germany,Europe,,early modern,books,
LAD 2019.032,Calligrapher's Desk,anonymous,ca. 1540,specific year,1540,Istanbul,Turkey,Asia,,early modern,furniture,
LAD 2016.007,Ceremonial Dagger,,ca. 1530-1550,year range,1540,Turkey,Turkey,Asia,,early modern,metallic,
LAD 2014.011,Portrait of Sir Thomas Wyatt the Younger,Hans Holbein the Younger (1497-1543),ca. 1540-1542,year range,1541,United Kingdom,United Kingdom,Europe,,early modern,painting,
LAD 2012.028,Dish Decorated in the Saz Style,anonymous,ca. 1545 1550,year range,1548,Iznik,Turkey,Asia,,early modern,,
LAD 2010.014,Collar of the Order of the Golden Fleece,anonymous,1500-1600,year range,1550,"Flanders (today Northern France, Belgium and the Netherlands)",Belgium,Europe,,middle ages,jewellry,
LAD 2023.004,Quadrant,anonymous,ca. 15th or 16th century,year range,1550,"Fez (?), Meknes or Damascus (?), ",Syria,Asia,,early modern,,
LAD 2020.137,Letter from Humayun to Prince Akbar,anonymous,1551,specific year,1551,"Mughal Dynasty, India ; Kabul, Afghanistan",,,,early modern,,
LAD 2020.127,"The Arab Brigands Brought Before the King, by Mahmud Muzzahib (recto)",anonymous,1550-1560,year range,1555,Bukhara,Uzbekistan,Asia,Uzbek Dynasty ,early modern,,
LAD 2009.028,Allegory of Arithmetic,Frans Floris (1519-1570),1557,specific year,1557,"Antwerp, Flanders",Belgium,Europe,,early modern,painting,
LAD 2009.003,Ewer Basin Decorated with the Triumph of Ceres,Jean Court called Vigier (?-1614),1558,specific year,1558,Limoges ,France,Europe,,early modern,,
LAD 2021.020,Silver Gilt Mounted Engraved and Gilt Nautilus Shell,,ca. 1560,specific year,1560,China,China,Asia,,early modern,,
LAD 2019.014,Portrait of an African Woman,,ca. 1560,specific year,1560,Florence,Italy,Europe,,early modern,,
LAD 2019.014,Portrait of an African Woman,,ca. 1560,specific year,1560,Florence,Italy,Europe,,early modern,,
LAD 2009.004,Platter with the Wedding Banquet of Psyche,Jean Court called Le Maître I.C. (1530-1585),ca. 1550-1575,year range,1562,Limoges ,France,Europe,,early modern,,
LAD 2012.029,Dish with Roses and Edging with Sprays of Roses and Tulips,anonymous,ca. 1560-1565,year range,1563,Iznik,Turkey,Asia,Ottoman Empire (1299-1922),early modern,,
LAD 2012.030,Dish with Floral Decoration,anonymous,ca. 1560-1565,year range,1563,Iznik,Turkey,Asia,Ottoman Empire (1299-1922),early modern,,
LAD 2012.031,Jug with Small Bunches,anonymous,ca. 1560-1565,year range,1563,Iznik,Turkey,Asia,Ottoman Empire (1299-1922),early modern,,
LAD 2012.070,Tile with Clouds Decor on Blue Ground,anonymous,ca. 1560-1565,year range,1563,Iznik,Turkey,Asia,Ottoman Empire (1299-1922),early modern,,
LAD 2012.084,Wool Sniper and Tethered Camel,anonymous,ca. 1560-1570,year range,1568,Qazwin (?) ,Iran,Asia,,early modern,,
LAD 2012.081,"Page of a Shahnamah, Bahram Gur Fighting the Lions",anonymous,ca. 1560-1570,year range,1568,Shiraz (?) ,Iran,Asia,,early modern,,
LAD 2012.082,"Page of a Haft Peykar, Bahram Gur in the Turquoise Pavilion",anonymous,ca. 1560-1570,year range,1568,Shiraz (?) ,Iran,Asia,,early modern,,
LAD 2012.083,"Page of a Haft Peykar, Bahram Gur in the Green Pavilion",anonymous,ca. 1560-1570,year range,1568,Shiraz (?) ,Iran,Asia,,early modern,,
LAD 2012.080,"Page from a Shahnamah, Giv in Conversation with Kay Kavus",anonymous,ca. 1560-1570,year range,1568,"Shiraz (?), ",Iran,Asia,,early modern,,
LAD 2011.032,Jacob’s Journey,Jacopo Bassano (1510-1592),ca. 1565-1570,year range,1568,Venice ,Italy,Europe,Republic of Venice (697-1797),early modern,,
LAD 2012.033,Dish with Tulips and Carnations,anonymous,ca. 1565-1570,year range,1568,Iznik,Turkey,Asia,Ottoman Empire (1299-1922),early modern,,
LAD 2012.034,Dish with Blue Tulips and Red Carnations,anonymous,ca. 1565-1570,year range,1568,Iznik,Turkey,Asia,Ottoman Empire (1299-1922),early modern,,
LAD 2012.035,Dish with Roses and Composite Blooms,anonymous,ca. 1565-1570,year range,1568,Iznik,Turkey,Asia,Ottoman Empire (1299-1922),early modern,,
LAD 2012.086,Kneeling Princess,anonymous,ca. 1570,specific year,1570,Iran,Iran,Asia,,early modern,,
LAD 2012.038,Rimless Shallow dish with Roses and Spotted Tulips,anonymous,ca. 1570,specific year,1570,Iznik,Turkey,Asia,Ottoman Empire (1299-1922),early modern,,
LAD 2012.071,Tile with Volute and Rose Decoration,anonymous,ca. 1570,specific year,1570,Iznik,Turkey,Asia,Ottoman Empire (1299-1922),early modern,,
LAD 2012.072,Tile with Rose Decoration on a White Ground,anonymous,ca. 1570,specific year,1570,Iznik,Turkey,Asia,Ottoman Empire (1299-1922),early modern,,
LAD 2012.027,Blue and White Dish with a Lotus Bouquet,anonymous,ca. 1570-1575,year range,1572,Iznik,Turkey,Asia,Ottoman Empire (1299-1922),early modern,,
LAD 2012.036,"Dish with Tulips, Roses and Carnations and a Little Vase",anonymous,ca. 1570-1575,year range,1572,Iznik,Turkey,Asia,Ottoman Empire (1299-1922),early modern,,
LAD 2012.041,"Dish with Narrow Border, Decorated with Carnations and Tulips",anonymous,ca. 1570-1575,year range,1572,Iznik,Turkey,Asia,Ottoman Empire (1299-1922),early modern,,
LAD 2012.075,Frieze Tile with Central Rose,anonymous,ca. 1570-1575,year range,1572,Iznik,Turkey,Asia,Ottoman Empire (1299-1922),early modern,,
LAD 2019.013,"Table Top known as ""Tavolino di Gioie""",Bernardino di Porfirio da Leccio,ca. 1568-1577,year range,1573,Florence,Italy,Europe,,early modern,,
LAD 2012.076,Tile with Red Floral Palmette Decoration,anonymous,ca. 1570-1580,year range,1575,Iznik,Turkey,Asia,Ottoman Empire (1299-1922),early modern,ceramic,
LAD 2012.032,Dish with Tulips and Carnations,anonymous,ca. 1575,specific year,1575,Iznik,Turkey,Asia,Ottoman Empire (1299-1922),early modern,ceramic,
LAD 2012.039,"Dish with Roses, Tulips and Hyacinthe",anonymous,ca. 1575,specific year,1575,Iznik,Turkey,Asia,Ottoman Empire (1299-1922),early modern,ceramic,
LAD 2012.042,"Rimless Dish, with Roses, Hyacinths and Spotted Tulips",anonymous,ca. 1575,specific year,1575,Iznik,Turkey,Asia,Ottoman Empire (1299-1922),early modern,ceramic,
LAD 2012.043,Dish with Four Flowers,anonymous,ca. 1575,specific year,1575,Iznik,Turkey,Asia,Ottoman Empire (1299-1922),early modern,ceramic,
LAD 2012.074,Border Tile with Plum Tree in Blossom,anonymous,ca. 1575,specific year,1575,Iznik,Turkey,Asia,Ottoman Empire (1299-1922),early modern,ceramic,
LAD 2012.037,Dish with Rose and Tulip Decoration,anonymous,ca. 1575-1580,year range,1578,Iznik,Turkey,Asia,Ottoman Empire (1299-1922),early modern,ceramic,
LAD 2012.052,Dish with Scale Pattern,anonymous,ca. 1575-1580,year range,1578,Iznik,Turkey,Asia,Ottoman Empire (1299-1922),early modern,ceramic,
LAD 2012.055,Dish with Scale-pattern Design,anonymous,ca. 1575-1580,year range,1578,Iznik,Turkey,Asia,Ottoman Empire (1299-1922),early modern,ceramic,
LAD 2012.077,Tiles with Lotus Flowers and Leaves in the Saz Style,anonymous,ca. 1575-1580,year range,1578,Iznik,Turkey,Asia,Ottoman Empire (1299-1922),early modern,ceramic,
LAD 2012.078,Panel with Lotus Flowers and Leaves in the Saz Style,anonymous,ca. 1575-1580,year range,1578,Iznik,Turkey,Asia,Ottoman Empire (1299-1922),early modern,ceramic,
LAD 2012.079,Tile with Volute Decoration on a Red Ground,anonymous,ca. 1575-1580,year range,1578,Iznik,Turkey,Asia,Ottoman Empire (1299-1922),early modern,ceramic,
LAD 2012.051,Dish with a Symmetrical Bunch,anonymous,ca. 1575-1585,year range,1578,Iznik,Turkey,Asia,Ottoman Empire (1299-1922),early modern,ceramic,
LAD 2012.053,Jug with Scale Decoration,anonymous,ca. 1575-1585,year range,1578,Iznik,Turkey,Asia,Ottoman Empire (1299-1922),early modern,ceramic,
LAD 2020.129,"Sa‘di’s Night Vigil, from Jami’s Subhat al-Abrar (recto)",anonymous,1580,specific year,1580,Shiraz ,Iran,Asia,Safavid Dynasty,early modern,books,
LAD 2020.106.001,Series of Allegories: Faith,Jacob De Backer (1555-1585),ca. 1575-1585,year range,1580,Antwerp,Belgium,Europe,,early modern,painting,
LAD 2020.106.002,Series of Allegories: Hope,Jacob De Backer (1555-1585),ca. 1575-1585,year range,1580,Antwerp,Belgium,Europe,,early modern,painting,
LAD 2020.106.003,Series of Allegories: Charity,Jacob De Backer (1555-1585),ca. 1575-1585,year range,1580,Antwerp,Belgium,Europe,,early modern,painting,
LAD 2020.106.004,Series of Allegories: Geometry,Jacob De Backer (1555-1585),ca. 1575-1585,year range,1580,Antwerp,Belgium,Europe,,early modern,painting,
LAD 2020.106.005,Series of Allegories: Grammar,Jacob De Backer (1555-1585),ca. 1575-1585,year range,1580,Antwerp,Belgium,Europe,,early modern,painting,
LAD 2020.106.006,Series of Allegories: Dialectic,Jacob De Backer (1555-1585),ca. 1575-1585,year range,1580,Antwerp,Belgium,Europe,,early modern,painting,
LAD 2020.106.007,Series of Allegories: Rhetoric,Jacob De Backer (1555-1585),ca. 1575-1585,year range,1580,Antwerp,Belgium,Europe,,early modern,painting,
LAD 2020.106.008,Series of Allegories: Arithmetic,Jacob De Backer (1555-1585),ca. 1575-1585,year range,1580,Antwerp,Belgium,Europe,,early modern,painting,
LAD 2012.040,"Jug with Tulips, Carnations and Hyacinth",anonymous,ca. 1580,specific year,1580,Iznik,Turkey,Asia,Ottoman Empire (1299-1922),early modern,,
LAD 2012.044,"Dish with Spotted Tulips, Saz Leaves and Marguerites",anonymous,ca. 1580,specific year,1580,Iznik,Turkey,Asia,Ottoman Empire (1299-1922),early modern,,
LAD 2012.045,"Dish with a Blue Saz Leaf, Dotted Tulips and Roses",anonymous,ca. 1580,specific year,1580,Iznik,Turkey,Asia,,early modern,,
LAD 2012.046,Dish Decorated with a Large Palm Leaf,anonymous,ca. 1580,specific year,1580,Iznik,Turkey,Asia,,early modern,,
LAD 2012.047,Dish with a Rose Enclosed Within a Large Saz-leaf,anonymous,ca. 1580,specific year,1580,Iznik,Turkey,Asia,Ottoman Empire (1299-1922),early modern,,
LAD 2012.048,Dish with a Big Rolling Saz-leaf,anonymous,ca. 1580,specific year,1580,Iznik,Turkey,Asia,,early modern,,
LAD 2012.056,Dish with Scales and a Pair of Saz Leaves,anonymous,ca. 1580,specific year,1580,Iznik,Turkey,Asia,Ottoman Empire (1299-1922),early modern,,
LAD 2012.062,Dish with Cintamani Pattern,anonymous,ca. 1580,specific year,1580,Iznik,Turkey,Asia,Ottoman Empire (1299-1922),early modern,,
LAD 2012.073,Tiles with Lambrequin and Bouquet Decoration,anonymous,ca. 1580,specific year,1580,Iznik,Turkey,Asia,Ottoman Empire (1299-1922),early modern,,
LAD 2012.057,Dish with Lyre-shaped Saz-leaf Cartouche Enclosing Exotic Blooms,anonymous,ca. 1580-1590,year range,1585,Iznik,Turkey,Asia,Ottoman Empire (1299-1922),early modern,,
LAD 2012.063,Jug with Pomegranates and Cintamani Design,anonymous,ca. 1580-1590,year range,1585,Iznik,Turkey,Asia,Ottoman Empire (1299-1922),early modern,,
LAD 2012.065,"Jug with Saz Leaves, Tulips and Hyacinths",anonymous,ca. 1585,year range,1585,Iznik,Turkey,Asia,Ottoman Empire (1299-1922),early modern,,
LAD 2020.138,Calligraphic Page,anonymous,1580-1590,year range,1585,India,India,Asia,Mughal empire,early modern,,
LAD 2011.035,Two European Women With a ChildDas Kesu (1570-1602),anonymous,1580-1590,year range,1585,Mogul school ,India,Asia,,early modern,,
LAD 2012.064,Jug with Single Red Tulips in Saz-Shaped Cartouches,anonymous,ca. 1585-1590,year range,1588,Iznik,Turkey,Asia,Ottoman Empire (1299-1922),early modern,,
LAD 2015.015,Astronomical Treatise Restating the Ancient Theories of Ptolemy,anonymous,ca. 1580-1600,year range,1590,Verona ,Italy,Europe,,early modern,books,
LAD 2012.066,Jug with Saz Leaves and Roses,anonymous,ca. 1585-1595,year range,1590,Iznik,Turkey,Asia,,early modern,,
LAD 2020.130,"Youth in a Landscape, by Sadiqi Beg (recto)",Sadiqi Beg ,ca. 1590,specific year,1590,"Isfahan, ",Iran,Asia,Safavid Dynasty; ,early modern,,
LAD 2012.049,Dish with Roses and Tulips,anonymous,ca. 1590,specific year,1590,Iznik,Turkey,Asia,Ottoman Empire (1299-1922),early modern,,
LAD 2012.050,Dish with Gilded Rose and Tulip Decoration,anonymous,ca. 1590,specific year,1590,Iznik,Turkey,Asia,Ottoman Empire (1299-1922),early modern,,
LAD 2012.054,Green and Blue Jug with a Palmette Decor,anonymous,ca. 1590,specific year,1590,Iznik,Turkey,Asia,Ottoman Empire (1299-1922),early modern,,
LAD 2012.058,"Green Ground Dish, with a Floral Decor",anonymous,ca. 1590,specific year,1590,Iznik,Turkey,Asia,Ottoman Empire (1299-1922),early modern,,
LAD 2012.060,Dish with a Green Ground Arabesque Medallion,anonymous,ca. 1590,specific year,1590,Iznik,Turkey,Asia,Ottoman Empire (1299-1922),early modern,,
LAD 2012.061,Dish with a Cypress Tree,anonymous,ca. 1590,specific year,1590,Iznik,Turkey,Asia,,early modern,,
LAD 2012.067,Jug Decorated with Images of Ships,anonymous,ca. 1590,specific year,1590,Iznik,Turkey,Asia,Ottoman Empire (1299-1922),early modern,,
LAD 2011.034,Illustration of a Ragamala: Pancam Ragini,Bundi style ,1591,specific year,1591,Chunar,India,Asia,,early modern,,
LAD 2020.136,Al-Darir’s Siyer-i Nebi (recto),, 1594-1595,,1594,Istanbul,Turkey,Asia,,early modern,,
LAD 2014.028.002,Illustrated Page of Siyer-i Nebi (Accounts of the Life of the Prophet),Mustafa ibn Vali,1594-1595,year range,1594,Istanbul,Turkey,Asia,,early modern,,
LAD 2016.006,Tower of Babel,Abel Grimmer (1570-1620),1595,specific year,1595,Antwerp,Belgium,Europe,,early modern,painting,
LAD 2012.059,"Red-Ground Dish, with Prune Leaves",anonymous,ca. 1590-1600,year range,1595,Iznik,Turkey,Asia,Ottoman Empire (1299-1922),early modern,,
LAD 2012.005,Return from the Hunt,anonymous,ca. 1596-1598,year range,1596,Agra ,India,Asia,,early modern,,
LAD 2020.131,Calligraphic Page with Chagatai Verses by ‘Imad al-Hasani,Imad al-Hasani, 1596-1599,year range,1597,Iran,Iran,Asia,Safavid Dynasty ,early modern,,
LAD 2020.132.001,Two Pages from a Calligraphic Album Made for Husayn Khan Shamlu,anonymous,1598-1599,year range,1598,Herat,Afghanistan,Asia,Safavid Dynasty,early modern,books,
LAD 2020.132.002,Two Pages from a Calligraphic Album Made for Husayn Khan Shamlu (recto),anonymous,1598-1599,year range,1598,Herat,Afghanistan,Asia,Safavid Dynasty,early modern,books,
LAD 2012.087,A Page from Akhabr-i Barmakiyan: a Son Asks his Father for Forgiveness,anonymous,ca. 1595-1600,year range,1598,Mughal India,India,Asia,,early modern,,
LAD 2020.112,Sharaknots (Books of Hymns from the Armenian Church),Arak’el of Geghama (1545-1605),ca. 1576-1632,year range,1600,"Erzerum, ",Armenia,Asia,,early modern,books,
LAD 2018.009,Dagger With a Parrot-Shaped Pommel,anonymous,ca. 1600,specific year,1600,Goa (?) ,India,Asia,,early modern,,
LAD 2012.088,Capturing Wild ElephantsFaqir Zarin-Raqam,anonymous,ca. 1600-1610,year range,1605,Mughal India,India,Asia,,early modern,,
LAD 2009.031,Ewer and Basin with Decorative Scenes,Reinholt Von der Rennen (?-1626),ca. 1610,specific year,1610,"Danzig, current ",Poland,Europe,,early modern,,
LAD 2020.133.001,Two Calligraphic Pages,anonymous,1600-1625,year range,1614,Isfahan ,Iran,Asia,Safavid Dynasty,early modern,,
LAD 2020.133.002,Two Calligraphic Pages,anonymous,1600-1625,year range,1614,Isfahan ,Iran,Asia,Safavid Dynasty,early modern,,
LAD 2012.009,The Good Samaritan,Jacob Jordaens (1593-1678),ca. 1615-1616,year range,1615,Antwerp,Belgium,Europe,,early modern,painting,
LAD 2019.009,Qur’an Commissioned by Sultan 'Abdullah II Al Sa'adi,anonymous,1616,specific year,1616,Fez,Morocco,Africa,,early modern,,
LAD 2020.134,Young Man in a Striped Coat,anonymous,1620,specific year,1620,Isfahan ,Iran,Asia,Safavid Dynasty,early modern,,
LAD 2014.013,Royal Dagger Carved with Hindu Figures,anonymous,ca. 1600-1645,year range,1620,Mysore or Madurai,India,Asia,,early modern,,
LAD 2011.058,A Fearsome Battle,anonymous,ca. 1622,specific year,1622,India,India,Asia,,modern & contemporary,,
LAD 2020.141,A Meeting Between an Abyssinian and a Mughal Noble,anonymous, 1623-1624,year range,1623,India,India,Asia,Mughal empire,early modern,,
LAD 2015.018.001,Portuguese Arriving in Japan for Trade. Six-panel Folding Screens in Namban Style. (one of pair),anonymous,ca. 1625,specific year,1625,Japan,Japan,Asia,,early modern,,
LAD 2015.018.002,Portuguese Arriving in Japan for Trade. Six-panel Folding Screens in Namban style. (one of pair),anonymous,ca. 1625,specific year,1625,Japan,Japan,Asia,,early modern,,
LAD 2019.002,Celestial GlobeQa’im Muhammad ibn Isa,anonymous,ca. 1625-1626,year range,1625,Lahore,Pakistan,Asia,,early modern,,
LAD 2009.029,Still Life in a PantryJeremie Plume,anonymous,1628,year range,1628,France,France,Europe,,early modern,,
LAD 2020.139,A Kneeling Turk,anonymous,1630,year range,1630,India,India,Asia,Mughal empire,early modern,,
LAD 2020.135,Calligraphic Album Page,anonymous,1620-1650,year range,1634,Iran,Iran,Asia,Safavid Dynasty,early modern,,
LAD 2012.068,Dish Decorated With a European Ship,anonymous,ca. 1625-1650,year range,1635,Iznik,Turkey,Asia,,early modern,,
LAD 2020.140,Portrait of Ikhlas KhanHashim,anonymous,1637,year range,1637,India,India,Asia,Mughal empire,early modern,,
LAD 2013.006,Theseus Finding His Father’s Sword,Laurent de La Hyre (1606-1656),ca. 1639-1641,year range,1639,Paris,France,Europe,,early modern,,
LAD 2012.094,Portrait of Sayyid Abu al-Muzaffar,anonymous,ca. 1630-1640,year range,1640,Mughal India,India,Asia,,early modern,,
LAD 2020.109.001,Pierced Window Screen (Jali),anonymous,ca. 1630-1650,year range,1640,Agra area ,India,Asia,,early modern,,
LAD 2020.109.002,Pierced Window Screen (Jali),anonymous,ca. 1630-1650,year range,1640,Agra area ,India,Asia,,early modern,,
LAD 2020.109.003,Pierced Window Screen (Jali),anonymous,ca. 1630-1650,year range,1640,Agra area ,India,Asia,,early modern,,
LAD 2013.047,Indian Ewer Embellished in ItalyOrazio Scoppa,anonymous,ca. 1640,year range,1640,"Gujarat, ",India,Asia,,early modern,,
LAD 2012.069,Dish with a European Ship,anonymous,ca. 1640-1650,year range,1645,Iznik,Turkey,Asia,Ottoman Empire (1299-1922),early modern,,
LAD 2020.012,Saint Joseph,Jusepe de Ribera (1591-1652),before 1647,year range,1645,"Naples, ",Italy,Europe,,early modern,painting,
LAD 2020.122,A Girl Blowing on a Brazier, Georges de La Tour, between 1646 and 1648,year range,1647,France,France,Europe,,early modern,painting,
LAD 2018.014,"Head of a Young Man with Clasped Hands, Study of the Figure of the Christ",Rembrandt van Rijn (1606-1669),ca. 1648-1652,year range,1650,Amsterdam ,Netherlands,Europe,,early modern,,
LAD 2011.082,Ragamala illustration: Hindola raga,anonymous,ca. 1650,specific year,1650,India,India,Asia,,early modern,,
LAD 2011.038,Prince with a Consort Watching the Moon,anonymous,ca. 1650,specific year,1650,"Manohar, Mewar",India,Asia,,early modern,,
LAD 2019.015,The Painting Lesson,Johann Heinrich Schönfeld (1609-1684),after 1650,year range,1651,Germany (?),Germany,Europe,,early modern,,
LAD 2021.010,Still Life with a Chinese vase,Willem Kalf,1653,year range,1653,Netherlands,Netherlands,Europe,,early modern,,
LAD 2011.037,Krishna Surrounded by Gopis,anonymous,ca. 1655,specific year,1655,"Mewar (Deccan influence), Rajasthan",India,Asia,,early modern,,
LAD 2009.006,Canister Tower with its Case,Achille (Agamemnon?) Hermansreyt,1657,year range,1657,Holy Roman Empire,Germany,Europe,,early modern,,
LAD 2012.101,Brahman Praising Prithu,anonymous,ca. 1650-1670,year range,1660,Bikaner ,India,Asia,,early modern,,
LAD 2009.014,Jacob’s Dream,Bartolome Esteban Murillo (1617-1682),ca. 1665,specific year,1665,Seville ,Spain,Europe,,early modern,,
LAD 2018.012.003,Hunting Scene Illustrating the Month of September (Chasses de Maximilien),anonymous,1665 1673,year range,1669,"Manufacture Royale des Gobelins, Paris ",France,Europe,,early modern,,
LAD 2018.012.004,Hunting Scene Illustrating the Month of November (Chasses de Maximilien),anonymous,1665 1673,year range,1669,"Manufacture Royale des Gobelins, Paris ",France,Europe,,early modern,,
LAD 2012.100,Thakur Gaj Sing on HorsebackWajid,anonymous,ca. 1670,specific year,1670,"Isarda, Rajasthan",India,Asia,,early modern,,
LAD 2012.090,Aurangzeb on Horseback Spearing on Elephant,anonymous,ca. 1670,specific year,1670,Mughal India,India,Asia,,early modern,,
LAD 2018.012.001,Hunting Scene Illustrating the Month of January (Chasses de Maximilien),anonymous,between 1665 and 1673,year range,1670,"Manufacture Royale des Gobelins, Paris, ",France,Europe,,early modern,,
LAD 2018.012.002,Hunting Scene Illustrating the Month of August (Chasses de Maximilien),anonymous,between 1665 and 1673,year range,1670,"Manufacture Royale des Gobelins, Paris, France",France,Europe,,early modern,,
LAD 2019.042.003,"Gold Sequin of Alvise Contarini, Doge of Venice",,1676-1684,year range,1679,Venice ,Italy,Europe,Republic of Venice (697-1797),early modern,numismatic,
LAD 2019.042.003,"Gold Sequin of Alvise Contarini, Doge of Venice",,1676-1684,year range,1679,Venice ,Italy,Europe,Republic of Venice (697-1797),middle ages,numismatic,
LAD 2011.046,Ragini Saranga,anonymous,ca. 1680,,1680,Sirohi ,India,Asia,,early modern,,
LAD 2010.003,Christ Driving the Merchants from the Temple,Luca Giordano (1632-1705),1684,specific year,1684,"Naples, ",Italy,Europe,,early modern,,
LAD 2011.050,Emperor Shah Jahan Giving a Sword to Rawat Hari Singh of Pratapgarh,anonymous,ca. 1675-1700,year range,1685,Pratapgarh (? ,India,Asia,,early modern,,
LAD 2012.099,Illustration of a Rasikapriya: Radha Confides in her Friend,anonymous,ca. 1680-1690,year range,1685,Bundi ,India,Asia,,early modern,,
LAD 2019.042.002,"Gold Sequin of Marc'Antonio Giustinian, Doge of Venice",,1684-1688,year range,1686,Venice ,Italy,Europe,Republic of Venice (697-1797),early modern,numismatic,
LAD 2019.042.002,"Gold Sequin of Marc'Antonio Giustinian, Doge of Venice",,1684-1688 ,year range,1686,Venice ,Italy,Europe,Republic of Venice (697-1797),middle ages,numismatic,
LAD 2022.013,Terrestrial Globe,Vincenzo Coronelli (1650-1718),1688,specific year,1688,Venice ,Italy,Europe,Republic of Venice (697-1797),early modern,,
LAD 2011.083,Huntress,anonymous,ca. 1680-1700,year range,1690,India,India,Asia,,early modern,,
LAD 2016.009.001,Map of World. Six-panel Folding Screens in Namban style (one of pair),anonymous,ca. 1690,specific year,1690,Japan,Japan,Asia,,early modern,,
LAD 2016.009.002,Map of Japan. Six-panel Folding Screens in Namban style. (one of a pair),anonymous,ca. 1690,specific year,1690,Japan,Japan,Asia,,early modern,,
LAD 2011.066,Krishna Kills the Demon Vatsasura,anonymous,ca. 1690-1710,year range,1700,Bikaner ,India,Asia,,early modern,,
LAD 2011.039,A Prince Worshipping Krishna and Radha,anonymous,ca. 1695-1710,year range,1700,Mewar,India,Asia,,early modern,,
LAD 2011.090,Kamsa Begs for Devaki and Vasudeva’s Forgiveness and Informs his Ministers of his Fate,anonymous,ca. 1700,specific year,1700,India,India,Asia,,early modern,,
LAD 2011.049,Portrait of Rao Ratan Singh of Bundi,anonymous,ca. 1700,specific year,1700,Kotah ,India,Asia,,early modern,,
LAD 2011.040,Ragamala Illustration: Todi Ragini,anonymous,ca. 1700,specific year,1700,Mewar,India,Asia,,early modern,,
LAD 2013.057,"Equestrian Portrait of Philip V, King of Spain",Lorenzo Vaccaro (1655-1706),1702-1705,year range,1703,Italy,Italy,Europe,,early modern,,
LAD 2018.007,Armour Bearing the Coat of Arms of the Feudal Lord Nabeshima Yoshishige,anonymous,ca. 1707-1730,year range,1715,Japan,Japan,Asia,,early modern,,
LAD 2012.092,Emperor Aurangzeb in Public Audience,anonymous,ca. 1710-1720,year range,1715,Udaipur ,India,Asia,,early modern,,
LAD 2011.068,Two Ladies on a Terrace,anonymous,ca. 1720-1730,year range,1725,Bikaner ,India,Asia,,early modern,,
LAD 2011.086,Krishna Tries to Calm the Anger of Radha,anonymous,ca. 1720-1730,year range,1725,India,India,Asia,,early modern,,
LAD 2011.041,Two Ladies Conversing on a Terrace,anonymous,ca. 1720-1730,year range,1725,Mewar,India,Asia,,early modern,,
LAD 2011.067,Series of Barahmasa: the Month of Asadha,,ca. 1725,specific year,1725,Bikaner ,India,Asia,,early modern,painting,
LAD 2009.027,Astrolabe,Muhammad ibn Ahmad Al-Battûtî (1128-1170),1726-1727,year range,1726,"Meknès (?), Morocco (?), North Africa",Morocco,Africa,,early modern,,
